"","BGC","RSMR","Current","2025","2055","2085","Pl.Current","Pl.2025","Pl.2055","Pl.2085","Sx.Current","Sx.2025","Sx.2055","Sx.2085","Bl.Current","Bl.2025","Bl.2055","Bl.2085","Fd.Current","Fd.2025","Fd.2055","Fd.2085","At.Current","At.2025","At.2055","At.2085","Ep.Current","Ep.2025","Ep.2055","Ep.2085","Ac.Current","Ac.2025","Ac.2055","Ac.2085"
"89","SBSdw2",4,"SD","SD","SD","MD","L","L","M","M","L","M","M","H","L","M","H","VH","L","L","L","L","L","L","M","M","L","M","H","VH","H","VH","VH","VH"
"90","SBSdw2",5,"F","F","F","F","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","M","M","M","M"
"91","SBSdw3",1,"MD","MD","VD2","VD2","H","VH","VH","VH","VH","VH","VH","VH","VH","VH","VH","VH","L","L","L","M","H","VH","VH","VH","VH","VH","VH","VH","VH","VH","VH","VH"
"92","SBSdw3",2,"MD","MD","MD","VD2","M","H","H","VH","H","H","VH","VH","VH","VH","VH","VH","L","L","L","L","M","H","H","VH","VH","VH","VH","VH","VH","VH","VH","VH"
"93","SBSdw3",3,"SD","MD","MD","MD","M","M","H","H","M","H","H","VH","H","VH","VH","VH","L","L","L","L","M","M","H","H","H","VH","VH","VH","VH","VH","VH","VH"
"94","SBSdw3",4,"SD","SD","MD","MD","L","L","M","M","L","M","H","H","M","H","H","VH","L","L","L","L","L","L","M","M","M","H","H","VH","H","VH","VH","VH"
"95","SBSdw3",5,"F","F","F","F","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","M","M","M","M"
"96","SBSmc1",1,"MD","MD","VD2","VD2","M","H","VH","VH","H","VH","VH","VH","VH","VH","VH","VH","L","L","L","M","M","H","VH","VH","VH","VH","VH","VH","VH","VH","VH","VH"
"97","SBSmc1",2,"SD","MD","MD","MD","L","M","H","VH","M","H","VH","VH","H","VH","VH","VH","L","L","L","L","L","M","H","VH","H","VH","VH","VH","VH","VH","VH","VH"
"98","SBSmc1",3,"SD","MD","MD","MD","L","M","M","H","M","H","H","VH","M","H","VH","VH","L","L","L","L","L","M","M","H","M","H","VH","VH","VH","VH","VH","VH"
"99","SBSmc1",4,"SD","SD","SD","MD","L","L","M","M","L","M","M","H","L","M","H","VH","L","L","L","L","L","L","M","M","L","M","H","VH","H","VH","VH","VH"
"100","SBSmc1",5,"F","F","F","F","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","M","M","M","M"
"101","SBSmc2",1,"MD","MD","VD2","VD2","M","H","VH","VH","H","VH","VH","VH","VH","VH","VH","VH","L","L","L","L","M","H","VH","VH","VH","VH","VH","VH","VH","VH","VH","VH"
"102","SBSmc2",2,"SD","MD","MD","MD","L","M","H","H","M","H","H","VH","H","VH","VH","VH","L","L","L","L","L","M","H","H","H","VH","VH","VH","VH","VH","VH","VH"
"103","SBSmc2",3,"SD","SD","MD","MD","L","M","M","H","M","M","H","H","M","H","VH","VH","L","L","L","L","L","M","M","H","M","H","VH","VH","VH","VH","VH","VH"
"104","SBSmc2",4,"SD","SD","SD","MD","L","L","L","M","L","L","M","H","L","M","H","H","L","L","L","L","L","L","L","M","L","M","H","H","H","H","VH","VH"
"105","SBSmc2",5,"F","F","F","F","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","M","M","M","M"
"106","SBSmc3",1,"MD","MD","VD2","VD2","M","H","VH","VH","H","VH","VH","VH","VH","VH","VH","VH","L","L","L","L","M","H","VH","VH","VH","VH","VH","VH","VH","VH","VH","VH"
"107","SBSmc3",2,"SD","MD","MD","MD","L","M","H","H","M","H","H","VH","H","VH","VH","VH","L","L","L","L","L","M","H","H","H","VH","VH","VH","VH","VH","VH","VH"
"108","SBSmc3",3,"SD","SD","MD","MD","L","M","M","H","M","M","H","H","M","H","VH","VH","L","L","L","L","L","M","M","H","M","H","VH","VH","VH","VH","VH","VH"
"109","SBSmc3",4,"SD","SD","SD","MD","L","L","L","M","L","M","M","H","L","M","H","H","L","L","L","L","L","L","L","M","L","M","H","H","H","VH","VH","VH"
"110","SBSmc3",5,"F","F","F","F","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","M","M","M","M"
"111","SBSmk1",1,"MD","MD","VD2","VD2","H","H","VH","VH","H","VH","VH","VH","VH","VH","VH","VH","L","L","L","M","H","H","VH","VH","VH","VH","VH","VH","VH","VH","VH","VH"
"112","SBSmk1",2,"MD","MD","MD","MD","M","M","H","H","H","H","H","VH","H","VH","VH","VH","L","L","L","L","M","M","H","H","H","VH","VH","VH","VH","VH","VH","VH"
"113","SBSmk1",3,"SD","MD","MD","MD","L","M","M","H","M","H","H","H","H","H","VH","VH","L","L","L","L","L","M","M","H","H","H","VH","VH","VH","VH","VH","VH"
"114","SBSmk1",4,"SD","SD","SD","MD","L","L","L","M","L","M","M","H","M","M","H","H","L","L","L","L","L","L","L","M","M","M","H","H","H","VH","VH","VH"
"115","SBSmk1",5,"F","F","F","F","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","M","M","M","M"
"116","SBSmk2",1,"SD","MD","MD","VD2","M","M","H","VH","M","H","VH","VH","H","VH","VH","VH","L","L","L","L","M","M","H","VH","H","VH","VH","VH","VH","VH","VH","VH"
"117","SBSmk2",2,"SD","SD","MD","MD","L","L","M","H","L","M","H","H","M","H","H","VH","L","L","L","L","L","L","M","H","M","H","H","VH","H","VH","VH","VH"
"118","SBSmk2",3,"SD","SD","SD","MD","L","L","L","M","L","L","M","H","L","M","H","H","L","L","L","L","L","L","L","M","L","M","H","H","H","H","VH","VH"
"119","SBSmk2",4,"F","SD","SD","SD","L","L","L","L","L","L","L","M","L","L","M","M","L","L","L","L","L","L","L","L","L","L","M","M","M","H","H","VH"
"120","SBSmk2",5,"F","F","F","F","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","M","M","M","M"
"121","SBSwk1",1,"SD","SD","MD","MD","L","L","M","H","M","M","H","H","M","H","VH","VH","L","L","L","L","L","L","M","H","M","H","VH","VH","VH","VH","VH","VH"
"122","SBSwk1",2,"SD","SD","SD","SD","L","L","L","L","L","L","L","M","L","M","M","H","L","L","L","L","L","L","L","L","L","M","M","H","H","H","H","VH"
"123","SBSwk1",3,"F","F","SD","SD","L","L","L","L","L","L","L","L","L","L","L","M","L","L","L","L","L","L","L","L","L","L","L","M","M","M","H","H"
"124","SBSwk1",4,"F","F","F","SD","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","M","M","M","H"
"125","SBSwk1",5,"F","F","F","F","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","M","M","M","M"
"126","SBSwk2",1,"SD","MD","MD","MD","L","M","H","H","M","H","H","VH","H","H","VH","VH","L","L","L","L","L","M","H","H","H","H","VH","VH","VH","VH","VH","VH"
"127","SBSwk2",2,"SD","SD","SD","MD","L","L","L","M","L","L","M","H","M","M","H","H","L","L","L","L","L","L","L","M","M","M","H","H","H","H","VH","VH"
"128","SBSwk2",3,"F","SD","SD","SD","L","L","L","L","L","L","L","M","L","M","M","H","L","L","L","L","L","L","L","L","L","M","M","H","M","H","H","VH"
"129","SBSwk2",4,"F","F","SD","SD","L","L","L","L","L","L","L","L","L","L","L","M","L","L","L","L","L","L","L","L","L","L","L","M","M","M","H","H"
"130","SBSwk2",5,"F","F","F","F","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","M","M","M","M"
"131","SBSwk3",1,"SD","SD","MD","MD","L","L","M","H","M","M","H","H","M","H","VH","VH","L","L","L","L","L","L","M","H","M","H","VH","VH","VH","VH","VH","VH"
"132","SBSwk3",2,"SD","SD","SD","SD","L","L","L","L","L","L","L","M","L","L","M","M","L","L","L","L","L","L","L","L","L","L","M","M","H","H","H","VH"
"133","SBSwk3",3,"F","F","SD","SD","L","L","L","L","L","L","L","L","L","L","L","M","L","L","L","L","L","L","L","L","L","L","L","M","M","M","H","H"
"134","SBSwk3",4,"F","F","F","F","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","M","M","M","M"
"135","SBSwk3",5,"F","F","F","F","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","M","M","M","M"
