BGC,RSMR,Current,2025,2055,2085
SBSmc3,2,0.868666667,0.827914761,0.790917126,0.761955288
SBSmc3,3,0.887166667,0.854232336,0.822534561,0.790285751
SBSmc3,4,0.93625,0.899634629,0.867005574,0.837754069
SBSmc3,5,1,1,1,1
SBSmk1,1,0.795083333,0.761222608,0.726582672,0.698811023
SBSmk1,2,0.844166667,0.815039472,0.793575036,0.768313847
SBSmk1,3,0.8745,0.843838208,0.820987801,0.799055798
SBSmk1,4,0.927083333,0.895991003,0.869108646,0.844301528
SBSmk1,5,1,1,1,1
SBSmk2,1,0.855666667,0.821050451,0.773869901,0.74451536
SBSmk2,2,0.911333333,0.874542271,0.841210479,0.804518919
SBSmk2,3,0.938333333,0.901119511,0.869612956,0.836040819
SBSmk2,4,0.97425,0.945454774,0.913157627,0.881807739
SBSmk2,5,1,1,1,1
SBSwk1,1,0.889583333,0.860232114,0.821801583,0.799265434
SBSwk1,2,0.9485,0.92629842,0.907044841,0.874077804
SBSwk1,3,0.969916667,0.953008277,0.93446952,0.907836149
SBSwk1,4,0.99225,0.981750581,0.968100536,0.945631995
SBSwk1,5,1,1,1,1
SBSwk2,1,0.860583333,0.835532547,0.794814795,0.766610556
SBSwk2,2,0.923,0.900746861,0.865612336,0.83561792
SBSwk2,3,0.956583333,0.929696182,0.904958958,0.869559625
SBSwk2,4,0.97225,0.962119424,0.94889233,0.911791806
SBSwk2,5,1,1,1,1
SBSwk3,1,0.889583333,0.860839885,0.829952263,0.801711431
SBSwk3,2,0.9485,0.933230488,0.913069954,0.882383283
SBSwk3,3,0.969916667,0.958926872,0.94002021,0.916718036
SBSwk3,4,0.99225,0.983632818,0.972625939,0.953017745
SBSwk3,5,1,1,1,1
