ICH,mc,1
MH,mm,2
SBS,mc,2
CWH,ws,2
ICH,mc,2
ESSF,mv,3
ESSF,mv,1
SBS,mc,2
MH,mm,2
SBS,wk,3
ESSF,mv,3
SBS,dw,3
CWH,ws,2
ESSF,mv,3
SBS,wk,2
ESSF,mv,2
ESSF,mv,4
ESSF,wc,3
ESSF,wk,2
BWBS,wk,2
SBS,mk,1
SBS,mk,2
SBS,wk,1
CWH,ws,2
ESSF,mv,3
MH,mm,2
SBS,mc,2
SBS,wk,3
SBS,dw,3
SBS,mc,2
SBS,wk,3
SBS,mc,3
ESSF,mv,1
ESSF,xv,1
SBS,mk,1
ESSF,mv,3
SBS,dw,1
SBS,dw,2
SBS,wk,1
ICH,vk,2
ESSF,mv,2
ICH,wk,3
ICH,wk,4
ESSF,wc,3
ESSF,wk,1
ESSF,wk,2
ICH,mc,1
ESSF,mm,1
ESSF,mv,1
ESSF,wc,3
ESSF,wk,1
SBS,mc,2
ICH,wk,4
IDF,dk,3
SBS,dw,2
SBS,dw,1
SBS,mc,1
SBS,wk,1
ESSF,xv,1
SBS,mc,3
